asn,name,orig_prefix,orig_prefix_len,net24,target_ip,ptr,ping,score,reason
4780,SEEDNet,61.66.94.0/24,24,61.66.94.0/24,61.66.94.1,adsl-61-66-94-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.95.0/24,24,61.66.95.0/24,61.66.95.1,adsl-61-66-95-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.161.0/24,24,61.66.161.0/24,61.66.161.1,adsl-61-66-161-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.180.0/24,24,61.66.180.0/24,61.66.180.1,adsl-61-66-180-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.183.0/24,24,61.66.183.0/24,61.66.183.1,adsl-61-66-183-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.4.0/24,24,106.104.4.0/24,106.104.4.1,106-104-4-1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.5.0/24,24,106.104.5.0/24,106.104.5.1,106-104-5-1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.10.0/24,24,106.104.10.0/24,106.104.10.1,106-104-10-1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.14.0/24,24,106.104.14.0/24,106.104.14.1,106-104-14-1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.30.0/24,24,106.104.30.0/24,106.104.30.1,106-104-30-1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.33.0/24,24,106.104.33.0/24,106.104.33.1,106-104-33-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.69.0/24,24,106.104.69.0/24,106.104.69.1,106-104-69-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.70.0/24,24,106.104.70.0/24,106.104.70.1,106-104-70-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.73.0/24,24,106.104.73.0/24,106.104.73.1,106-104-73-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.75.0/24,24,106.104.75.0/24,106.104.75.1,106-104-75-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.78.0/24,24,106.104.78.0/24,106.104.78.1,106-104-78-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.85.0/24,24,106.104.85.0/24,106.104.85.1,106-104-85-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.86.0/24,24,106.104.86.0/24,106.104.86.1,106-104-86-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.88.0/24,24,106.104.88.0/24,106.104.88.1,106-104-88-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.98.0/24,24,106.104.98.0/24,106.104.98.1,106-104-98-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.99.0/24,24,106.104.99.0/24,106.104.99.1,106-104-99-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.100.0/24,24,106.104.100.0/24,106.104.100.1,106-104-100-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.105.0/24,24,106.104.105.0/24,106.104.105.1,106-104-105-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.108.0/24,24,106.104.108.0/24,106.104.108.1,106-104-108-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.113.0/24,24,106.104.113.0/24,106.104.113.1,106-104-113-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.115.0/24,24,106.104.115.0/24,106.104.115.1,106-104-115-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.116.0/24,24,106.104.116.0/24,106.104.116.1,106-104-116-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.117.0/24,24,106.104.117.0/24,106.104.117.1,106-104-117-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.119.0/24,24,106.104.119.0/24,106.104.119.1,106-104-119-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.121.0/24,24,106.104.121.0/24,106.104.121.1,106-104-121-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.122.0/24,24,106.104.122.0/24,106.104.122.1,106-104-122-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.104.124.0/24,24,106.104.124.0/24,106.104.124.1,106-104-124-1.adsl.static.seed.net.tw,False,130.0,base_prflen=24;ptr
