ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
1659,TANet,163.28.0.0/16,163.28.128.0,,success,Taiwan,Taiwan,Taipei,25.033,121.565,
1659,TANet,163.30.0.0/15,163.31.0.0,,success,Taiwan,Taiwan,Taipei,25.033,121.565,
1659,TANet,163.32.0.0/16,163.32.128.0,,success,Taiwan,Kaohsiung,Zuoying,22.6824,120.2958,
1659,TANet,192.83.166.0/23,192.83.167.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,192.83.168.0/21,192.83.172.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,192.83.176.0/20,192.83.184.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,192.83.191.0/24,192.83.191.128,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,192.83.192.0/22,192.83.194.0,,success,Taiwan,Taiwan,Taipei,25.033,121.565,
1659,TANet,192.83.193.0/24,192.83.193.128,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,192.83.196.0/24,192.83.196.128,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,192.192.0.0/16,192.192.128.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.21.0/24,192.192.21.128,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.22.0/24,192.192.22.128,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.23.0/24,192.192.23.128,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.24.0/23,192.192.25.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.26.0/24,192.192.26.128,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.48.0/21,192.192.52.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.90.0/24,192.192.90.128,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.91.0/24,192.192.91.128,smartbook.ndmctsgh.edu.tw,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.92.0/23,192.192.93.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.94.0/24,192.192.94.128,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.114.0/23,192.192.115.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.120.0/23,192.192.121.0,0.121.192.192.ip4.au.edu.tw,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.122.0/24,192.192.122.128,neptune.csie.au.edu.tw,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.248.0/22,192.192.250.0,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,192.192.255.0/24,192.192.255.128,,success,Taiwan,Taipei,Yingge District,24.9493,121.337,
1659,TANet,203.64.0.0/16,203.64.128.0,,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
1659,TANet,203.64.8.0/21,203.64.12.0,,success,Taiwan,Hualien County,Hualien City,23.9807,121.6115,
1659,TANet,203.64.120.0/21,203.64.124.0,,success,Taiwan,Hualien County,Hualien City,23.9807,121.6115,
1659,TANet,203.64.128.0/21,203.64.132.0,,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
1659,TANet,203.64.207.0/24,203.64.207.128,,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
1659,TANet,203.64.238.0/24,203.64.238.128,,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
1659,TANet,203.68.0.0/16,203.68.128.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,203.68.94.0/23,203.68.95.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6771,120.322,
1659,TANet,203.68.96.0/22,203.68.98.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,203.71.0.0/16,203.71.128.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
1659,TANet,203.71.10.0/23,203.71.11.0,,success,Taiwan,Taipei,Tamsui,25.172,121.443,
1659,TANet,203.71.12.0/22,203.71.14.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
1659,TANet,203.72.0.0/21,203.72.4.0,,success,Taiwan,Yilan County,Yilan,24.757,121.753,
1659,TANet,203.72.0.0/16,203.72.128.0,,success,Taiwan,Yilan County,Yilan,24.757,121.753,
1659,TANet,210.59.0.0/17,210.59.64.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,210.60.0.0/16,210.60.128.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,210.60.8.0/22,210.60.10.0,10.60.210.ip.au.edu.tw,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
1659,TANet,210.60.12.0/23,210.60.13.0,,success,Taiwan,Taipei,Tamsui,25.172,121.443,
1659,TANet,210.60.28.0/22,210.60.30.0,,success,Taiwan,Taiwan,Taipei,25.0253,121.541,
1659,TANet,210.60.80.0/21,210.60.84.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,210.60.88.0/22,210.60.90.0,,success,Taiwan,Taiwan,Taichung,24.1946,120.662,
1659,TANet,210.60.92.0/24,210.60.92.128,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
1659,TANet,210.60.119.0/24,210.60.119.128,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
1659,TANet,210.60.122.0/23,210.60.123.0,,success,Taiwan,Taiwan,Neihu District,25.0709,121.596,
1659,TANet,210.60.124.0/23,210.60.125.0,,success,Taiwan,Taiwan,Neihu District,25.0709,121.596,
1659,TANet,210.60.126.0/24,210.60.126.128,,success,Taiwan,Taiwan,Neihu District,25.0709,121.596,
1659,TANet,210.60.183.0/24,210.60.183.128,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,210.60.184.0/22,210.60.186.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,210.60.188.0/23,210.60.189.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,210.60.190.0/24,210.60.190.128,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,210.60.221.0/24,210.60.221.128,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,210.60.222.0/24,210.60.222.128,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,210.60.223.0/24,210.60.223.128,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,210.62.64.0/19,210.62.80.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
1659,TANet,210.62.224.0/20,210.62.232.0,,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
1659,TANet,210.62.240.0/21,210.62.244.0,,success,Taiwan,Taiwan,Taipei,25.0253,121.541,
1659,TANet,210.67.248.0/21,210.67.252.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
1659,TANet,210.70.0.0/16,210.70.128.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.70.79.0/24,210.70.79.128,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.70.80.0/24,210.70.80.128,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.70.82.0/23,210.70.83.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.70.84.0/22,210.70.86.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.70.94.0/23,210.70.95.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.71.0.0/17,210.71.64.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.0.0/16,210.240.128.0,,success,Taiwan,Taitung,Taitung,22.7564,121.1418,
1659,TANet,210.240.202.0/23,210.240.203.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.204.0/24,210.240.204.128,comp204128.nhu.edu.tw,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.205.0/24,210.240.205.128,comp205128.nhu.edu.tw,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.206.0/24,210.240.206.128,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.207.0/24,210.240.207.128,comp207128.nhu.edu.tw,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.208.0/24,210.240.208.128,comp208128.nhu.edu.tw,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.209.0/24,210.240.209.128,comp209128.nhu.edu.tw,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.210.0/24,210.240.210.128,comp210128.nhu.edu.tw,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.211.0/24,210.240.211.128,comp211128.nhu.edu.tw,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.232.0/21,210.240.236.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.240.0/21,210.240.244.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.240.248.0/23,210.240.249.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,210.243.0.0/18,210.243.32.0,,success,Taiwan,New Taipei City,Beitou,25.1403,121.4948,
1659,TANet,2001:288::/32,2001:288:8000::,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
