ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
3462,HiNet,61.219.0.0/16,61.219.128.0,61-219-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,61.220.0.0/16,61.220.128.0,61-220-128-0.hinet-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,61.220.0.0/14,61.222.0.0,61-222-0-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,61.221.0.0/16,61.221.128.0,61-221-128-0.hinet-ip.hinet.net,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
3462,HiNet,61.222.0.0/16,61.222.128.0,61-222-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,61.223.0.0/16,61.223.128.0,61-223-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,61.224.0.0/14,61.226.0.0,61-226-0-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,61.224.0.0/16,61.224.128.0,61-224-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,61.225.0.0/16,61.225.128.0,61-225-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,61.226.0.0/16,61.226.128.0,61-226-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,61.227.0.0/16,61.227.128.0,61-227-128-0.dynamic-ip.hinet.net,success,Taiwan,Pingtung,Pingtung City,22.6745,120.491,
3462,HiNet,61.228.0.0/16,61.228.128.0,61-228-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,61.229.0.0/16,61.229.128.0,61-229-128-0.hinet-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,61.230.0.0/16,61.230.128.0,61-230-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,61.231.0.0/16,61.231.128.0,61-231-128-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
3462,HiNet,103.21.60.0/23,103.21.61.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,103.21.62.0/23,103.21.63.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,104.107.56.0/22,104.107.58.0,a104-107-58-0.deploy.static.akamaitechnologies.com,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,107.155.30.0/24,107.155.30.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
3462,HiNet,111.240.0.0/16,111.240.128.0,111-240-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,111.240.0.0/12,111.248.0.0,111-248-0-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
3462,HiNet,111.241.0.0/16,111.241.128.0,111-241-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,111.242.0.0/16,111.242.128.0,111-242-128-0.dynamic-ip.hinet.net,success,Taiwan,Pingtung,Pingtung City,22.6745,120.491,
3462,HiNet,111.243.0.0/16,111.243.128.0,111-243-128-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
3462,HiNet,111.244.0.0/18,111.244.32.0,111-244-32-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0367,121.524,
3462,HiNet,111.244.64.0/18,111.244.96.0,111-244-96-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0367,121.524,
3462,HiNet,111.244.128.0/17,111.244.192.0,111-244-192-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0367,121.524,
3462,HiNet,111.245.0.0/16,111.245.128.0,111-245-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0367,121.524,
3462,HiNet,111.246.0.0/16,111.246.128.0,111-246-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,111.247.0.0/16,111.247.128.0,111-247-128-0.hinet-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.0334,121.566,
3462,HiNet,111.248.0.0/16,111.248.128.0,111-248-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,111.249.0.0/16,111.249.128.0,111-249-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,111.250.0.0/16,111.250.128.0,111-250-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,111.251.0.0/16,111.251.128.0,111-251-128-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,
3462,HiNet,111.252.0.0/16,111.252.128.0,111-252-128-0.dynamic-ip.hinet.net,success,Taiwan,Changhua,Chang-hua,24.0761,120.5648,
3462,HiNet,111.253.0.0/16,111.253.128.0,111-253-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,111.254.0.0/16,111.254.128.0,111-254-128-0.dynamic-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,111.255.0.0/16,111.255.128.0,111-255-128-0.dynamic-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,114.24.0.0/14,114.26.0.0,114-26-0-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,114.24.0.0/16,114.24.128.0,114-24-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,114.25.0.0/16,114.25.128.0,114-25-128-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
3462,HiNet,114.26.0.0/16,114.26.128.0,114-26-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,114.27.0.0/16,114.27.128.0,114-27-128-0.dynamic-ip.hinet.net,success,Taiwan,Pingtung,Pingtung City,22.6745,120.491,
3462,HiNet,114.32.0.0/16,114.32.128.0,114-32-128-0.hinet-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,114.32.0.0/12,114.40.0.0,114-40-0-0.dynamic-ip.hinet.net,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
3462,HiNet,114.33.0.0/16,114.33.128.0,114-33-128-0.hinet-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,114.34.0.0/16,114.34.128.0,114-34-128-0.hinet-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,114.35.0.0/16,114.35.128.0,114-35-128-0.hinet-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,114.36.0.0/16,114.36.128.0,114-36-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,114.37.0.0/16,114.37.128.0,114-37-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,114.38.0.0/16,114.38.128.0,114-38-128-0.dynamic-ip.hinet.net,success,Taiwan,Yunlin,Yunlin,23.7113,120.3897,
3462,HiNet,114.39.0.0/16,114.39.128.0,114-39-128-0.dynamic-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,114.40.0.0/16,114.40.128.0,114-40-128-0.dynamic-ip.hinet.net,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
3462,HiNet,114.41.0.0/16,114.41.128.0,114-41-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,114.42.0.0/16,114.42.128.0,114-42-128-0.dynamic-ip.hinet.net,success,Taiwan,Nantou,Puli,23.9678,120.9644,
3462,HiNet,114.43.0.0/16,114.43.128.0,114-43-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,114.44.0.0/16,114.44.128.0,114-44-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,114.45.0.0/16,114.45.128.0,114-45-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,114.46.0.0/16,114.46.128.0,114-46-128-0.dynamic-ip.hinet.net,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
3462,HiNet,114.47.0.0/16,114.47.128.0,114-47-128-0.dynamic-ip.hinet.net,success,Taiwan,Kinmen County,Jincheng,24.4279,118.3164,
3462,HiNet,118.160.0.0/16,118.160.128.0,118-160-128-0.dynamic-ip.hinet.net,success,Taiwan,Hsinchu County,Zhubei,24.8351,121.0056,
3462,HiNet,118.161.0.0/16,118.161.128.0,118-161-128-0.dynamic-ip.hinet.net,success,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,
3462,HiNet,118.162.0.0/16,118.162.128.0,118-162-128-0.hinet-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,118.163.0.0/16,118.163.128.0,118-163-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,118.164.0.0/16,118.164.128.0,118-164-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,118.165.0.0/16,118.165.128.0,118-165-128-0.dynamic-ip.hinet.net,success,Taiwan,Yilan County,Yilan,24.757,121.753,
3462,HiNet,118.166.0.0/16,118.166.128.0,118-166-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,118.167.0.0/16,118.167.128.0,118-167-128-0.dynamic-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,118.168.0.0/16,118.168.128.0,118-168-128-0.dynamic-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,118.169.0.0/16,118.169.128.0,118-169-128-0.dynamic-ip.hinet.net,success,Taiwan,Yilan County,Yilan,24.757,121.753,
3462,HiNet,118.170.0.0/16,118.170.128.0,118-170-128-0.dynamic-ip.hinet.net,success,Taiwan,Yunlin,Yunlin,23.7113,120.3897,
3462,HiNet,118.171.0.0/16,118.171.128.0,118-171-128-0.dynamic-ip.hinet.net,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
3462,HiNet,122.116.0.0/16,122.116.128.0,122-116-128-0.hinet-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,122.117.0.0/16,122.117.128.0,122-117-128-0.hinet-ip.hinet.net,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
3462,HiNet,122.118.0.0/16,122.118.128.0,122-118-128-0.dynamic-ip.hinet.net,success,Taiwan,Changhua,Chang-hua,24.0761,120.5648,
