asn,org,prefix,center_ip,city,score
4780,SEEDNet,210.244.113.0/24,210.244.113.128,Banqiao,5
9924,TFN,61.31.51.0/24,61.31.51.128,Songshan,5
4780,SEEDNet,106.105.19.0/24,106.105.19.128,Chiayi City,5
4780,SEEDNet,106.104.78.0/24,106.104.78.128,Hsinchu,8
1659,TANet,192.192.22.0/24,192.192.22.128,Yingge District,5
4780,SEEDNet,175.181.39.0/24,175.181.39.128,Zhongli District,5
4780,SEEDNet,210.66.48.0/24,210.66.48.128,Chiyayi County,5
4780,SEEDNet,122.146.92.0/24,122.146.92.128,Zhubei,5
4780,SEEDNet,106.105.35.0/24,106.105.35.128,Chang-hua,5
4780,SEEDNet,203.70.17.0/24,203.70.17.128,Shenkeng District,5
4780,SEEDNet,123.205.81.0/24,123.205.81.128,Yunlin,5
9924,TFN,219.86.88.0/23,219.86.89.0,Nantou City,4
4780,SEEDNet,210.243.192.0/18,210.243.224.0,Hsinchu County,0
7539,TWAREN,203.145.200.0/21,203.145.204.0,Yilan,2
1659,TANet,120.96.208.0/20,120.96.216.0,Shulin District,1
4780,SEEDNet,106.104.88.0/24,106.104.88.128,Taoyuan,5
4780,SEEDNet,221.169.32.0/19,221.169.48.0,Tamsui,0
1659,TANet,120.118.96.0/20,120.118.104.0,Dazhi,1
3462,HiNet,111.242.0.0/16,111.242.128.0,Pingtung City,0
1659,TANet,203.64.120.0/21,203.64.124.0,Hualien City,2
4780,SEEDNet,123.51.173.0/24,123.51.173.128,Sanchong District,5
3462,HiNet,210.241.224.0/19,210.241.240.0,Miaoli,0
1659,TANet,140.125.0.0/16,140.125.128.0,Douliu,0
3462,HiNet,59.127.0.0/16,59.127.128.0,Xitun,0
9924,TFN,60.198.0.0/16,60.198.128.0,Caotun,0
3462,HiNet,211.72.233.0/24,211.72.233.128,Taipei,8
4780,SEEDNet,106.105.40.0/24,106.105.40.128,Neihu District,5
4780,SEEDNet,59.105.6.0/24,59.105.6.128,Taichung,8
4780,SEEDNet,106.104.100.0/24,106.104.100.128,Tainan City,5
4780,SEEDNet,61.61.159.0/24,61.61.159.128,New Taipei City,5
4780,SEEDNet,112.104.189.0/24,112.104.189.128,Kaohsiung,8
4780,SEEDNet,123.204.19.0/24,123.204.19.128,Taoyuan District,5
4780,SEEDNet,218.211.26.0/24,218.211.26.128,Banqiao,5
9924,TFN,61.31.192.0/24,61.31.192.128,Songshan,5
4780,SEEDNet,210.66.64.0/24,210.66.64.128,Chiayi City,5
4780,SEEDNet,175.181.134.0/24,175.181.134.128,Hsinchu,8
1659,TANet,192.192.23.0/24,192.192.23.128,Yingge District,5
4780,SEEDNet,175.181.41.0/24,175.181.41.128,Zhongli District,5
4780,SEEDNet,210.66.49.0/24,210.66.49.128,Chiyayi County,5
4780,SEEDNet,123.51.181.0/24,123.51.181.128,Zhubei,5
4780,SEEDNet,106.105.36.0/24,106.105.36.128,Chang-hua,5
4780,SEEDNet,203.70.21.0/24,203.70.21.128,Shenkeng District,5
3462,HiNet,1.168.0.0/16,1.168.128.0,Yunlin,0
9924,TFN,219.86.80.0/21,219.86.84.0,Nantou City,2
