asn,name,prefix,family,center_ip,geo_status,geo_message,country,region,city,lat,lon,isp,as,query
3462,HiNet,61.220.0.0/14,ipv4,61.222.0.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.222.0.0
3462,HiNet,61.221.0.0/16,ipv4,61.221.128.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.221.128.0
3462,HiNet,61.222.0.0/16,ipv4,61.222.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.222.128.0
3462,HiNet,61.223.0.0/16,ipv4,61.223.128.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.223.128.0
3462,HiNet,61.224.0.0/14,ipv4,61.226.0.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.226.0.0
3462,HiNet,61.224.0.0/16,ipv4,61.224.128.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.224.128.0
3462,HiNet,61.225.0.0/16,ipv4,61.225.128.0,success,,Taiwan,Taiwan,Neihu District,25.0689,121.591,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.225.128.0
3462,HiNet,61.226.0.0/16,ipv4,61.226.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.226.128.0
3462,HiNet,61.227.0.0/16,ipv4,61.227.128.0,success,,Taiwan,Pingtung,Pingtung City,22.6745,120.491,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.227.128.0
3462,HiNet,61.228.0.0/16,ipv4,61.228.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.228.128.0
3462,HiNet,61.229.0.0/16,ipv4,61.229.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.229.128.0
3462,HiNet,61.230.0.0/16,ipv4,61.230.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.230.128.0
3462,HiNet,61.231.0.0/16,ipv4,61.231.128.0,success,,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.231.128.0
3462,HiNet,103.21.60.0/23,ipv4,103.21.61.0,success,,Taiwan,Taiwan,Neihu District,25.0689,121.591,Bank Of Taiwan,AS131148 Bank Of Taiwan,103.21.61.0
3462,HiNet,103.21.62.0/23,ipv4,103.21.63.0,success,,Taiwan,Taiwan,Neihu District,25.0689,121.591,Bank Of Taiwan,AS131148 Bank Of Taiwan,103.21.63.0
3462,HiNet,104.107.56.0/22,ipv4,104.107.58.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,104.107.58.0
3462,HiNet,107.155.30.0/24,ipv4,107.155.30.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,Zenlayer Inc,AS3462 Data Communication Business Group,107.155.30.128
3462,HiNet,111.240.0.0/16,ipv4,111.240.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.240.128.0
3462,HiNet,111.240.0.0/12,ipv4,111.248.0.0,success,,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.248.0.0
3462,HiNet,111.241.0.0/16,ipv4,111.241.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.241.128.0
3462,HiNet,111.242.0.0/16,ipv4,111.242.128.0,success,,Taiwan,Pingtung,Pingtung City,22.6745,120.491,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.242.128.0
3462,HiNet,111.243.0.0/16,ipv4,111.243.128.0,success,,Taiwan,Taoyuan,Zhongli District,24.9604,121.2392,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,111.243.128.0
