source_asn,source_name,target_asn,target_name,occurrences,source_is_taiwan,target_is_taiwan,source_is_tier1,target_is_tier1
1299,,58453,,609,False,False,True,False
9676,,7656,,606,False,False,False,False
9671,,9671,,594,False,False,False,False
131589,,131589,,568,False,False,False,False
7922,,3356,,553,False,False,False,True
7713,,4635,,542,False,False,False,False
137409,,58453,,537,False,False,False,False
6079,,15412,,528,False,False,False,False
9924,Taiwan Fixed Network,18045,,527,True,False,False,False
8220,,15412,,515,False,False,False,False
38623,,6939,,510,False,False,False,False
4826,,3257,,510,False,False,False,True
3491,,9002,,506,False,False,True,False
9924,Taiwan Fixed Network,135140,,505,True,False,False,False
9924,Taiwan Fixed Network,9216,,502,True,False,False,False
3614,,3614,,497,False,False,False,False
38880,,4826,,495,False,False,False,False
38880,,174,,494,False,False,False,True
38880,,9924,Taiwan Fixed Network,492,False,True,False,False
7500,,4713,,488,False,False,False,False
3462,HiNet (Chunghwa),131621,,486,True,False,False,False
2516,,9505,,482,False,False,False,False
3356,,174,,477,False,False,True,True
131636,,131636,,477,False,False,False,False
3462,HiNet (Chunghwa),56179,,475,True,False,False,False
4780,SeedNet,4781,,469,True,False,False,False
4780,SeedNet,18181,,469,True,False,False,False
131273,,54801,,464,False,False,False,False
4780,SeedNet,133948,,453,True,False,False,False
6461,,3462,HiNet (Chunghwa),445,False,True,True,False
9924,Taiwan Fixed Network,18422,,443,True,False,False,False
4780,SeedNet,131599,,442,True,False,False,False
199524,,15412,,438,False,False,False,False
2500,,7660,,438,False,False,False,False
4657,,4780,SeedNet,437,False,True,False,False
9924,Taiwan Fixed Network,20940,,432,True,False,False,False
9924,Taiwan Fixed Network,131599,,429,True,False,False,False
10310,,56173,,426,False,False,False,False
131634,,138341,,424,False,False,False,False
131634,,131623,,421,False,False,False,False
2914,,58453,,420,False,False,True,False
4780,SeedNet,17420,,419,True,False,False,False
4780,SeedNet,54994,,415,True,False,False,False
4780,SeedNet,38837,,408,True,False,False,False
4780,SeedNet,131588,,408,True,False,False,False
3462,HiNet (Chunghwa),131660,,407,True,False,False,False
4780,SeedNet,14789,,407,True,False,False,False
4780,SeedNet,131586,,406,True,False,False,False
57429,,212359,,405,False,False,False,False
